version,buildingId,x,y,floor,mx,my,mz,my_bias,mx_bias,mz_uncalib,mz_bias,my_uncalib,mx_uncalib,uploaddAt
Yest,e384f534f12c984588d8868e,0,0,-1,52.37300109863281,-59.092002868652344,55.80400085449219,-65.56300354003906,-16.069000244140625,-24.38800048828125,-80.44400024414062,-125.46900939941406,36.669002532958984,2024-06-17T10:59:35.865Z
Line_1_top_right,e384f534f12c984588d8868e,1326,30,0,43.44600296020508,3.6760001182556152,48.358001708984375,-65.56200408935547,-16.069000244140625,-32.45800018310547,-80.44400024414062,-60.68400192260742,28.503002166748047,2024-06-17T11:04:10.597Z
Line_1_top_right,e384f534f12c984588d8868e,1326,30,0,43.44600296020508,3.6760001182556152,48.358001708984375,-65.56200408935547,-16.069000244140625,-32.45800018310547,-80.44400024414062,-60.68400192260742,28.503002166748047,2024-06-17T11:04:10.597Z
Line_1_top_right,e384f534f12c984588d8868e,1226,30,0,41.6510009765625,7.323000431060791,51.81300354003906,-65.56200408935547,-16.069000244140625,-28.898000717163086,-80.44400024414062,-56.881004333496094,27.172000885009766,2024-06-17T11:04:10.597Z
Line_1_top_right,e384f534f12c984588d8868e,1106,30,0,47.32200241088867,9.724000930786133,48.45900344848633,-65.56200408935547,-16.069000244140625,-31.3330020904541,-80.44500732421875,-55.790000915527344,30.933000564575195,2024-06-17T11:04:10.597Z
Line_1_top_right,e384f534f12c984588d8868e,1011,35,0,48.00800323486328,12.553000450134277,51.84600067138672,-65.56200408935547,-16.069000244140625,-30.12700080871582,-80.44400024414062,-53.14800262451172,30.78400230407715,2024-06-17T11:04:10.597Z
Line_1_top_right,e384f534f12c984588d8868e,881,35,0,43.57400131225586,10.929000854492188,50.583003997802734,-65.56200408935547,-16.069000244140625,-32.59300231933594,-80.44500732421875,-54.329002380371094,31.067001342773438,2024-06-17T11:04:10.597Z
Line_1_top_right,e384f534f12c984588d8868e,751,35,0,38.98100280761719,9.110000610351562,47.579002380371094,-65.56200408935547,-16.07000160217285,-32.8650016784668,-80.44400024414062,-56.452003479003906,22.911001205444336,2024-06-17T11:04:10.597Z
Line_1_top_middle,e384f534f12c984588d8868e,676,35,0,43.46200180053711,12.403000831604004,54.89600372314453,-65.56200408935547,-16.07000160217285,-26.001001358032227,-80.44400024414062,-52.75300216674805,27.540000915527344,2024-06-17T11:06:58.931Z
Line_1_top_middle,e384f534f12c984588d8868e,656,5,0,50.9170036315918,12.483000755310059,59.728004455566406,-65.56200408935547,-16.07000160217285,-21.586000442504883,-80.44500732421875,-53.24400329589844,34.25800323486328,2024-06-17T11:06:58.931Z
Line_1_top_middle,e384f534f12c984588d8868e,626,35,0,44.54500198364258,8.581000328063965,49.915000915527344,-65.56200408935547,-16.069000244140625,-31.226001739501953,-80.44400024414062,-58.87600326538086,26.367000579833984,2024-06-17T11:06:58.931Z
Line_1_top_middle,e384f534f12c984588d8868e,576,35,0,43.7660026550293,9.824000358581543,48.87900161743164,-65.56200408935547,-16.069000244140625,-30.269001007080078,-80.44400024414062,-55.31500244140625,28.097002029418945,2024-06-17T11:06:58.931Z
Line_1_top_left,e384f534f12c984588d8868e,511,35,0,46.6410026550293,10.6850004196167,48.41800308227539,-65.56200408935547,-16.069000244140625,-31.340002059936523,-80.44400024414062,-55.62700271606445,30.727001190185547,2024-06-17T11:12:27.549Z
Line_1_top_left,e384f534f12c984588d8868e,426,35,0,44.4640007019043,13.90000057220459,51.78000259399414,-65.56200408935547,-16.07000160217285,-29.301000595092773,-80.44500732421875,-52.18600082397461,27.994001388549805,2024-06-17T11:12:27.549Z
Line_1_top_left,e384f534f12c984588d8868e,426,90,0,40.54100036621094,16.506999969482422,54.72300338745117,-65.56200408935547,-16.069000244140625,-27.599000930786133,-80.44500732421875,-48.617000579833984,24.042001724243164,2024-06-17T11:12:27.549Z
Line_1_top_left,e384f534f12c984588d8868e,346,35,0,47.375003814697266,8.31100082397461,47.09400177001953,-65.56200408935547,-16.07000160217285,-31.398000717163086,-80.44400024414062,-56.974002838134766,29.91400146484375,2024-06-17T11:12:27.549Z
Line_1_top_left,e384f534f12c984588d8868e,261,35,0,38.320003509521484,12.701000213623047,52.57100296020508,-65.56200408935547,-16.069000244140625,-29.487001419067383,-80.44500732421875,-53.52700424194336,22.1560001373291,2024-06-17T11:12:27.549Z
Line_1_top_left,e384f534f12c984588d8868e,176,35,0,40.01100158691406,10.931000709533691,51.22600173950195,-65.56200408935547,-16.069000244140625,-29.218002319335938,-80.44400024414062,-54.631004333496094,23.942001342773438,2024-06-17T11:12:27.549Z
Line_1_top_left,e384f534f12c984588d8868e,111,35,0,41.66400146484375,10.668000221252441,51.57100296020508,-65.56200408935547,-16.069000244140625,-29.543001174926758,-80.44400024414062,-54.44900131225586,26.748001098632812,2024-06-17T11:12:27.549Z
Line_1_top_left,e384f534f12c984588d8868e,36,35,0,41.62900161743164,8.381999969482422,50.45900344848633,-65.56200408935547,-16.069000244140625,-30.106000900268555,-80.44400024414062,-57.060001373291016,23.56100082397461,2024-06-17T11:12:27.549Z
Line_1_top_left,e384f534f12c984588d8868e,36,0,0,51.695003509521484,-3.5880000591278076,53.37600326538086,-65.56300354003906,-16.069000244140625,-25.73000144958496,-80.44400024414062,-66.90299987792969,37.55800247192383,2024-06-17T11:12:27.549Z
Line_1_top_left_down,e384f534f12c984588d8868e,35,0,-1,53.99400329589844,2.449000120162964,52.707000732421875,-65.56200408935547,-16.069000244140625,-27.738000869750977,-80.44500732421875,-63.11300277709961,37.92500305175781,2024-06-17T11:29:30.910Z
Line_1_top_left_down,e384f534f12c984588d8868e,35,0,-1,42.781002044677734,11.130000114440918,48.496002197265625,-65.56200408935547,-16.07000160217285,-31.948001861572266,-80.44400024414062,-54.432003021240234,26.711000442504883,2024-06-17T11:29:30.910Z
Line_1_top_left_down,e384f534f12c984588d8868e,35,0,-1,41.05500030517578,12.815000534057617,48.204002380371094,-65.56200408935547,-16.069000244140625,-32.2400016784668,-80.44400024414062,-52.74700164794922,24.98600196838379,2024-06-17T11:29:30.910Z
Line_1_top_left_down,e384f534f12c984588d8868e,0,35,0,43.025001525878906,10.610000610351562,46.22200393676758,-65.56200408935547,-16.069000244140625,-34.22200012207031,-80.44400024414062,-54.952003479003906,26.95600128173828,2024-06-17T11:29:30.910Z
Line_1_top_left_down,e384f534f12c984588d8868e,35,0,0,52.452003479003906,-0.31800001859664917,51.281002044677734,-65.56200408935547,-16.069000244140625,-30.16600227355957,-80.44500732421875,-65.45000457763672,35.96600341796875,2024-06-17T11:29:30.910Z
